Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
OID-100023,2022-10-19,2022-10-25,Second Class,CUST-2286,Consumer,India,Mumbai,Delhi,East,Office Supplies,Labels,Labels Product 48,4152.25,10,0.1,1173.54
OID-100024,2019-06-16,2019-06-18,First Class,CUST-5021,Consumer,India,Mumbai,Tamil Nadu,Central,Furniture,Furnishings,Furnishings Product 136,3054.82,10,0.4,-395.71
OID-100025,2021-03-06,2021-03-13,Second Class,CUST-2760,Home Office,India,Hyderabad,Maharashtra,South,Furniture,Tables,Tables Product 269,4020.88,3,0.0,-772.74
OID-100026,2022-01-04,2022-01-07,First Class,CUST-1751,Home Office,India,Delhi,Delhi,South,Technology,Phones,Phones Product 166,2145.84,9,0.0,-215.96
OID-100027,2020-03-18,2020-03-24,Standard Class,CUST-5643,Consumer,India,Chennai,Telangana,East,Furniture,Tables,Tables Product 205,77.33,4,0.2,-7.78
OID-100028,2020-07-15,2020-07-19,Standard Class,CUST-4587,Home Office,India,Chennai,Gujarat,East,Furniture,Furnishings,Furnishings Product 292,3571.14,7,0.2,662.93
OID-100029,2021-06-04,2021-06-09,Standard Class,CUST-5847,Corporate,India,Delhi,Gujarat,West,Furniture,Chairs,Chairs Product 264,416.52,10,0.1,-59.17
OID-100030,2020-08-07,2020-08-09,Standard Class,CUST-3373,Consumer,India,Kolkata,Telangana,South,Technology,Machines,Machines Product 124,4322.36,9,0.3,-149.34
OID-100031,2022-01-29,2022-01-31,Second Class,CUST-8238,Corporate,India,Ahmedabad,Maharashtra,Central,Office Supplies,Storage,Storage Product 7,364.61,8,0.4,60.09
OID-100032,2023-01-12,2023-01-15,Same Day,CUST-3209,Consumer,India,Mumbai,Telangana,East,Furniture,Bookcases,Bookcases Product 247,3205.91,10,0.2,258.47
OID-100033,2022-09-20,2022-09-21,Same Day,CUST-5748,Home Office,India,Kolkata,Gujarat,West,Furniture,Furnishings,Furnishings Product 228,1945.49,10,0.2,350.95
OID-100034,2021-01-05,2021-01-10,Second Class,CUST-8491,Consumer,India,Pune,Telangana,South,Technology,Copiers,Copiers Product 163,2828.32,3,0.2,173.56
OID-100035,2021-05-04,2021-05-10,First Class,CUST-2406,Corporate,India,Delhi,Gujarat,East,Office Supplies,Paper,Paper Product 261,2166.33,2,0.1,42.61
OID-100036,2022-10-21,2022-10-25,Second Class,CUST-7416,Corporate,India,Chennai,Delhi,Central,Office Supplies,Labels,Labels Product 86,1048.51,3,0.0,-44.9
OID-100037,2021-03-20,2021-03-21,First Class,CUST-5306,Consumer,India,Kolkata,West Bengal,South,Furniture,Chairs,Chairs Product 141,2567.42,4,0.4,-193.47
OID-100038,2022-07-27,2022-07-29,Second Class,CUST-7683,Home Office,India,Mumbai,Karnataka,Central,Furniture,Bookcases,Bookcases Product 188,2081.4,9,0.2,-204.95
OID-100039,2020-10-22,2020-10-27,Second Class,CUST-9906,Home Office,India,Bangalore,Delhi,East,Furniture,Chairs,Chairs Product 189,4717.13,8,0.2,695.27
OID-100040,2020-06-21,2020-06-25,Same Day,CUST-6405,Home Office,India,Mumbai,Karnataka,South,Office Supplies,Binders,Binders Product 30,4408.32,6,0.1,899.56
OID-100041,2019-09-05,2019-09-11,Same Day,CUST-3169,Consumer,India,Pune,Karnataka,Central,Technology,Copiers,Copiers Product 208,3185.35,2,0.3,642.92
OID-100042,2022-10-17,2022-10-20,First Class,CUST-1253,Corporate,India,Chennai,Gujarat,East,Furniture,Furnishings,Furnishings Product 217,973.52,1,0.2,-36.83
OID-100043,2022-04-07,2022-04-12,Standard Class,CUST-8447,Home Office,India,Delhi,Maharashtra,East,Office Supplies,Art,Art Product 292,654.34,6,0.0,-26.83
OID-100044,2022-07-03,2022-07-05,Same Day,CUST-7534,Corporate,India,Delhi,Karnataka,Central,Office Supplies,Art,Art Product 192,594.76,8,0.0,73.66
OID-100045,2020-09-11,2020-09-12,Standard Class,CUST-4224,Home Office,India,Pune,Telangana,South,Furniture,Chairs,Chairs Product 217,52.58,5,0.4,12.11
OID-100046,2021-01-09,2021-01-15,First Class,CUST-5191,Corporate,India,Hyderabad,Maharashtra,West,Office Supplies,Art,Art Product 134,84.41,7,0.2,0.73
OID-100047,2022-06-18,2022-06-24,Second Class,CUST-3018,Home Office,India,Kolkata,Delhi,South,Office Supplies,Labels,Labels Product 215,1149.43,5,0.2,-75.05
OID-100048,2019-06-06,2019-06-09,First Class,CUST-6691,Corporate,India,Kolkata,West Bengal,West,Technology,Machines,Machines Product 39,1258.42,2,0.2,-48.32
OID-100049,2021-10-18,2021-10-24,Standard Class,CUST-2612,Home Office,India,Hyderabad,Telangana,Central,Furniture,Chairs,Chairs Product 272,2618.01,8,0.0,5.02
OID-100050,2022-06-21,2022-06-23,Same Day,CUST-6648,Home Office,India,Ahmedabad,Telangana,South,Office Supplies,Art,Art Product 263,371.22,6,0.1,104.4
OID-100051,2019-03-11,2019-03-13,First Class,CUST-5023,Consumer,India,Hyderabad,Tamil Nadu,East,Office Supplies,Paper,Paper Product 48,1296.32,2,0.1,202.4
OID-100052,2019-07-07,2019-07-14,Second Class,CUST-2698,Consumer,India,Delhi,Delhi,Central,Technology,Phones,Phones Product 262,783.03,8,0.0,-52.16
OID-100053,2019-02-09,2019-02-14,Second Class,CUST-9008,Corporate,India,Hyderabad,Karnataka,Central,Furniture,Tables,Tables Product 279,4884.24,2,0.3,-851.13
OID-100054,2022-10-22,2022-10-29,Second Class,CUST-1083,Consumer,India,Ahmedabad,Delhi,East,Furniture,Tables,Tables Product 284,1429.3,1,0.0,167.48
OID-100055,2020-12-29,2021-01-03,Same Day,CUST-5163,Home Office,India,Pune,Karnataka,Central,Office Supplies,Binders,Binders Product 69,3419.49,10,0.4,152.94
OID-100056,2021-09-02,2021-09-03,First Class,CUST-3507,Corporate,India,Delhi,Gujarat,East,Office Supplies,Art,Art Product 178,4928.97,2,0.3,-786.53
OID-100057,2021-06-28,2021-07-05,Second Class,CUST-6012,Corporate,India,Ahmedabad,Delhi,Central,Furniture,Tables,Tables Product 32,1879.79,9,0.0,308.49
OID-100058,2021-09-18,2021-09-20,First Class,CUST-2676,Consumer,India,Hyderabad,Karnataka,West,Technology,Phones,Phones Product 225,1870.53,3,0.3,545.66
OID-100059,2023-01-17,2023-01-23,Second Class,CUST-9370,Consumer,India,Chennai,Telangana,West,Furniture,Tables,Tables Product 158,2024.18,5,0.0,-252.3
OID-100060,2021-09-27,2021-10-02,Same Day,CUST-7712,Home Office,India,Chennai,Tamil Nadu,Central,Furniture,Furnishings,Furnishings Product 246,2565.58,8,0.4,587.98
OID-100061,2022-05-08,2022-05-10,First Class,CUST-3741,Home Office,India,Bangalore,Telangana,Central,Furniture,Bookcases,Bookcases Product 51,1663.5,3,0.3,-318.9
OID-100062,2021-09-22,2021-09-24,First Class,CUST-9234,Corporate,India,Kolkata,West Bengal,West,Technology,Machines,Machines Product 93,2584.86,3,0.2,-66.35
OID-100063,2020-10-12,2020-10-17,Second Class,CUST-9902,Corporate,India,Mumbai,Delhi,East,Office Supplies,Binders,Binders Product 221,526.07,2,0.0,76.53
OID-100064,2019-03-24,2019-03-28,First Class,CUST-8455,Consumer,India,Delhi,Gujarat,East,Technology,Phones,Phones Product 206,1964.34,3,0.1,429.91
OID-100065,2021-10-05,2021-10-08,Standard Class,CUST-2508,Home Office,India,Pune,Delhi,South,Office Supplies,Art,Art Product 177,3394.67,6,0.0,-486.33
OID-100066,2021-04-04,2021-04-09,First Class,CUST-9140,Corporate,India,Pune,West Bengal,South,Technology,Accessories,Accessories Product 238,4627.23,9,0.1,-328.67
OID-100067,2023-01-16,2023-01-18,First Class,CUST-6463,Consumer,India,Chennai,Delhi,West,Office Supplies,Binders,Binders Product 213,3316.92,1,0.1,965.5
OID-100068,2020-08-13,2020-08-16,First Class,CUST-6186,Home Office,India,Pune,Delhi,East,Office Supplies,Storage,Storage Product 81,2607.35,9,0.0,-206.17
OID-100069,2020-02-02,2020-02-05,Same Day,CUST-4442,Corporate,India,Mumbai,Delhi,Central,Furniture,Tables,Tables Product 161,510.86,7,0.3,40.43
OID-100070,2021-10-30,2021-11-04,Same Day,CUST-8999,Home Office,India,Kolkata,Delhi,South,Furniture,Furnishings,Furnishings Product 3,4419.05,1,0.0,-267.64
OID-100071,2020-03-24,2020-03-29,First Class,CUST-4961,Consumer,India,Delhi,Delhi,South,Technology,Phones,Phones Product 277,3516.77,3,0.2,802.39
OID-100072,2020-01-20,2020-01-26,First Class,CUST-3946,Home Office,India,Mumbai,Delhi,Central,Technology,Accessories,Accessories Product 272,2052.32,1,0.0,248.36
OID-100073,2019-10-02,2019-10-09,Standard Class,CUST-6185,Home Office,India,Mumbai,West Bengal,Central,Furniture,Tables,Tables Product 51,466.49,5,0.3,116.29
OID-100074,2021-09-10,2021-09-15,Second Class,CUST-3062,Consumer,India,Bangalore,Maharashtra,South,Technology,Phones,Phones Product 99,3051.82,5,0.2,-42.29
OID-100075,2019-05-29,2019-05-30,First Class,CUST-4888,Home Office,India,Chennai,Karnataka,Central,Office Supplies,Art,Art Product 212,4703.66,2,0.0,-928.83
OID-100076,2021-12-08,2021-12-12,Second Class,CUST-4856,Consumer,India,Kolkata,Gujarat,West,Technology,Copiers,Copiers Product 281,846.0,9,0.1,36.21
OID-100077,2019-02-04,2019-02-07,First Class,CUST-7567,Corporate,India,Hyderabad,West Bengal,South,Technology,Machines,Machines Product 125,2269.7,2,0.4,-199.43
OID-100078,2021-10-23,2021-10-25,First Class,CUST-4424,Home Office,India,Bangalore,Delhi,East,Office Supplies,Labels,Labels Product 139,3575.29,8,0.0,167.85
OID-100079,2023-02-06,2023-02-11,Second Class,CUST-2395,Home Office,India,Kolkata,Tamil Nadu,South,Technology,Phones,Phones Product 25,935.17,1,0.2,120.46
OID-100080,2021-12-24,2021-12-31,Second Class,CUST-9530,Home Office,India,Mumbai,Delhi,West,Furniture,Chairs,Chairs Product 2,2863.13,10,0.3,155.77
OID-100081,2020-03-09,2020-03-12,First Class,CUST-8820,Corporate,India,Bangalore,Maharashtra,East,Technology,Phones,Phones Product 139,3199.85,8,0.4,138.78
OID-100082,2019-12-25,2019-12-29,Standard Class,CUST-1897,Corporate,India,Chennai,Gujarat,East,Furniture,Chairs,Chairs Product 285,4535.19,10,0.2,895.27
OID-100083,2019-09-07,2019-09-10,Same Day,CUST-8731,Home Office,India,Kolkata,Telangana,East,Furniture,Chairs,Chairs Product 226,2538.05,7,0.3,341.27
OID-100084,2019-03-07,2019-03-12,First Class,CUST-6243,Consumer,India,Ahmedabad,West Bengal,East,Technology,Phones,Phones Product 132,4327.63,4,0.3,697.73
OID-100085,2019-07-05,2019-07-09,Second Class,CUST-2181,Home Office,India,Bangalore,Delhi,South,Furniture,Furnishings,Furnishings Product 46,1439.82,2,0.2,265.33
OID-100086,2020-09-04,2020-09-07,Second Class,CUST-1947,Corporate,India,Kolkata,Telangana,Central,Furniture,Tables,Tables Product 297,265.84,1,0.3,71.84
OID-100087,2021-06-29,2021-07-06,First Class,CUST-1083,Home Office,India,Ahmedabad,Telangana,West,Furniture,Chairs,Chairs Product 195,4771.95,7,0.4,1153.6
OID-100088,2021-04-09,2021-04-13,Second Class,CUST-5748,Home Office,India,Pune,Gujarat,Central,Technology,Phones,Phones Product 88,3751.21,5,0.4,990.92
OID-100089,2020-03-19,2020-03-22,Same Day,CUST-1972,Corporate,India,Mumbai,West Bengal,East,Furniture,Furnishings,Furnishings Product 114,2169.51,4,0.4,186.9
OID-100090,2020-10-04,2020-10-08,Second Class,CUST-1019,Consumer,India,Kolkata,Gujarat,East,Technology,Copiers,Copiers Product 222,4902.64,8,0.3,-258.74
OID-100091,2022-04-10,2022-04-15,First Class,CUST-2803,Home Office,India,Hyderabad,Gujarat,East,Office Supplies,Storage,Storage Product 145,1956.23,9,0.0,-81.26
OID-100092,2021-04-23,2021-04-29,Standard Class,CUST-6365,Home Office,India,Kolkata,Delhi,South,Office Supplies,Paper,Paper Product 101,888.99,8,0.0,-2.36
OID-100093,2021-02-22,2021-02-25,Standard Class,CUST-7636,Corporate,India,Mumbai,Gujarat,South,Furniture,Tables,Tables Product 275,4228.86,7,0.2,359.58
OID-100094,2022-09-22,2022-09-25,First Class,CUST-2533,Consumer,India,Pune,Delhi,West,Technology,Phones,Phones Product 294,531.02,8,0.1,-38.72
OID-100095,2020-03-27,2020-04-03,First Class,CUST-2450,Consumer,India,Hyderabad,Maharashtra,Central,Technology,Copiers,Copiers Product 69,1511.69,5,0.1,257.57
OID-100096,2019-08-10,2019-08-17,Standard Class,CUST-9348,Corporate,India,Kolkata,Tamil Nadu,West,Technology,Copiers,Copiers Product 190,3500.23,7,0.2,540.63
OID-100097,2019-02-19,2019-02-25,Standard Class,CUST-4550,Consumer,India,Chennai,Tamil Nadu,South,Furniture,Tables,Tables Product 293,2786.46,10,0.1,570.33
OID-100098,2019-04-30,2019-05-04,Standard Class,CUST-3097,Corporate,India,Delhi,Karnataka,South,Technology,Phones,Phones Product 72,4060.06,6,0.0,429.38
OID-100099,2023-01-15,2023-01-20,First Class,CUST-7545,Corporate,India,Ahmedabad,Telangana,Central,Technology,Machines,Machines Product 217,453.89,4,0.0,51.72
OID-100100,2020-02-02,2020-02-03,Same Day,CUST-2987,Consumer,India,Chennai,Gujarat,Central,Office Supplies,Paper,Paper Product 22,1011.66,8,0.3,246.15
OID-100101,2020-12-08,2020-12-13,Standard Class,CUST-7154,Home Office,India,Chennai,Maharashtra,West,Technology,Accessories,Accessories Product 131,186.7,5,0.1,-28.57
OID-100102,2019-01-28,2019-02-01,Standard Class,CUST-4726,Corporate,India,Chennai,West Bengal,Central,Office Supplies,Binders,Binders Product 178,2912.49,3,0.2,95.53
OID-100103,2019-03-23,2019-03-24,First Class,CUST-1641,Home Office,India,Ahmedabad,Maharashtra,South,Technology,Phones,Phones Product 219,2736.09,5,0.4,600.48
OID-100104,2021-02-28,2021-03-01,Second Class,CUST-4564,Consumer,India,Chennai,Delhi,East,Furniture,Bookcases,Bookcases Product 208,4309.0,7,0.0,-781.33
OID-100105,2022-05-15,2022-05-21,Same Day,CUST-2512,Home Office,India,Kolkata,Delhi,South,Office Supplies,Labels,Labels Product 12,4121.87,3,0.2,-562.51
OID-100106,2021-07-27,2021-07-29,Standard Class,CUST-4782,Corporate,India,Mumbai,Telangana,Central,Technology,Phones,Phones Product 55,2635.1,6,0.4,-169.25
OID-100107,2020-03-16,2020-03-20,First Class,CUST-9424,Consumer,India,Chennai,Maharashtra,Central,Furniture,Chairs,Chairs Product 244,4828.0,8,0.3,1067.04
OID-100108,2021-09-09,2021-09-13,First Class,CUST-2175,Corporate,India,Bangalore,Maharashtra,South,Office Supplies,Art,Art Product 70,1012.18,2,0.2,120.16
OID-100109,2020-06-02,2020-06-07,First Class,CUST-8395,Corporate,India,Ahmedabad,West Bengal,East,Furniture,Tables,Tables Product 52,3644.15,1,0.4,1037.74
OID-100110,2020-11-17,2020-11-20,Same Day,CUST-6093,Consumer,India,Bangalore,Telangana,West,Technology,Machines,Machines Product 114,3587.25,4,0.2,708.82
OID-100111,2022-02-22,2022-03-01,Same Day,CUST-9624,Corporate,India,Hyderabad,Tamil Nadu,West,Office Supplies,Labels,Labels Product 186,1390.62,4,0.3,239.22
OID-100112,2021-02-15,2021-02-16,First Class,CUST-5604,Consumer,India,Ahmedabad,Gujarat,Central,Furniture,Chairs,Chairs Product 257,1291.76,4,0.1,363.4
OID-100113,2021-03-28,2021-04-04,First Class,CUST-2477,Home Office,India,Hyderabad,Delhi,West,Furniture,Bookcases,Bookcases Product 263,4188.1,2,0.0,604.13
OID-100114,2022-01-21,2022-01-24,Standard Class,CUST-2583,Corporate,India,Ahmedabad,Karnataka,Central,Furniture,Bookcases,Bookcases Product 275,338.06,3,0.1,-41.17
OID-100115,2020-08-24,2020-08-31,Standard Class,CUST-6532,Corporate,India,Pune,Telangana,East,Office Supplies,Labels,Labels Product 91,1288.7,8,0.0,167.66
OID-100116,2019-05-13,2019-05-15,Second Class,CUST-1314,Corporate,India,Pune,West Bengal,Central,Office Supplies,Art,Art Product 204,1435.67,1,0.4,242.55
OID-100117,2019-11-01,2019-11-07,Standard Class,CUST-8983,Consumer,India,Pune,Tamil Nadu,West,Office Supplies,Labels,Labels Product 203,2794.05,2,0.4,27.38
OID-100118,2019-02-12,2019-02-19,Second Class,CUST-6614,Corporate,India,Chennai,Maharashtra,Central,Furniture,Bookcases,Bookcases Product 84,1276.27,2,0.2,228.35
OID-100119,2020-05-13,2020-05-18,First Class,CUST-5980,Corporate,India,Kolkata,Telangana,Central,Furniture,Bookcases,Bookcases Product 285,121.25,1,0.3,-21.46
OID-100120,2021-09-02,2021-09-03,Standard Class,CUST-3896,Corporate,India,Ahmedabad,Tamil Nadu,South,Office Supplies,Labels,Labels Product 237,251.61,3,0.3,-28.26
OID-100121,2021-03-01,2021-03-05,First Class,CUST-5012,Corporate,India,Chennai,Maharashtra,Central,Office Supplies,Labels,Labels Product 194,134.95,9,0.1,6.18
OID-100122,2022-04-11,2022-04-12,Standard Class,CUST-6445,Consumer,India,Kolkata,Delhi,Central,Technology,Machines,Machines Product 85,2393.69,5,0.0,77.4
OID-100123,2021-12-06,2021-12-07,First Class,CUST-8080,Home Office,India,Pune,Delhi,West,Technology,Phones,Phones Product 245,3266.38,10,0.1,352.52
OID-100124,2020-08-23,2020-08-29,Second Class,CUST-7534,Corporate,India,Kolkata,Karnataka,South,Technology,Accessories,Accessories Product 86,3193.71,3,0.1,-222.13
OID-100125,2021-10-13,2021-10-18,Standard Class,CUST-3857,Corporate,India,Bangalore,Maharashtra,East,Office Supplies,Paper,Paper Product 108,125.76,1,0.2,6.49
OID-100126,2019-02-17,2019-02-22,Second Class,CUST-4110,Home Office,India,Kolkata,Maharashtra,South,Furniture,Tables,Tables Product 241,4289.62,7,0.4,609.05
OID-100127,2019-05-30,2019-06-01,First Class,CUST-1559,Corporate,India,Chennai,West Bengal,East,Technology,Phones,Phones Product 51,3098.46,7,0.1,-578.62
OID-100128,2021-12-30,2022-01-06,Second Class,CUST-8045,Consumer,India,Bangalore,Maharashtra,Central,Furniture,Chairs,Chairs Product 179,2949.59,3,0.2,591.32
OID-100129,2020-07-09,2020-07-10,Standard Class,CUST-2634,Home Office,India,Mumbai,Gujarat,West,Technology,Copiers,Copiers Product 210,3401.98,6,0.2,413.83
OID-100130,2019-09-10,2019-09-15,Same Day,CUST-9586,Home Office,India,Chennai,West Bengal,South,Furniture,Tables,Tables Product 109,2318.35,9,0.2,487.59
OID-100131,2021-03-10,2021-03-16,Same Day,CUST-9756,Corporate,India,Hyderabad,Karnataka,East,Technology,Phones,Phones Product 93,3148.4,10,0.0,883.43
OID-100132,2021-11-02,2021-11-04,First Class,CUST-5085,Corporate,India,Kolkata,Tamil Nadu,Central,Technology,Accessories,Accessories Product 13,4531.49,4,0.3,-285.57
OID-100133,2021-12-31,2022-01-06,First Class,CUST-9960,Corporate,India,Chennai,Karnataka,East,Technology,Accessories,Accessories Product 2,1112.22,4,0.1,-200.78
OID-100134,2021-03-10,2021-03-17,Standard Class,CUST-6013,Consumer,India,Chennai,Gujarat,South,Technology,Copiers,Copiers Product 147,3110.36,9,0.0,397.69
OID-100135,2021-04-23,2021-04-29,Standard Class,CUST-3501,Home Office,India,Delhi,West Bengal,South,Technology,Phones,Phones Product 207,1957.71,9,0.1,-368.76
OID-100136,2021-01-13,2021-01-20,Second Class,CUST-9942,Home Office,India,Delhi,West Bengal,Central,Technology,Copiers,Copiers Product 228,4081.62,4,0.0,195.99
OID-100137,2022-11-13,2022-11-16,Same Day,CUST-1755,Home Office,India,Hyderabad,West Bengal,West,Furniture,Bookcases,Bookcases Product 19,3479.81,9,0.1,398.34
OID-100138,2019-05-25,2019-05-29,Same Day,CUST-9412,Home Office,India,Chennai,Karnataka,East,Technology,Copiers,Copiers Product 1,4393.49,1,0.3,39.42
OID-100139,2021-10-27,2021-11-03,First Class,CUST-3366,Consumer,India,Mumbai,West Bengal,West,Office Supplies,Storage,Storage Product 105,4839.52,9,0.3,-538.54
OID-100140,2022-08-26,2022-08-28,First Class,CUST-3396,Consumer,India,Bangalore,Gujarat,Central,Office Supplies,Art,Art Product 152,3765.54,4,0.2,1111.79
OID-100141,2022-11-07,2022-11-14,Standard Class,CUST-6620,Corporate,India,Kolkata,Maharashtra,South,Office Supplies,Binders,Binders Product 170,2092.46,5,0.1,-156.92
OID-100142,2021-02-25,2021-02-27,First Class,CUST-1236,Corporate,India,Ahmedabad,Maharashtra,East,Office Supplies,Labels,Labels Product 50,2923.69,5,0.4,-235.95
OID-100143,2023-01-18,2023-01-23,Second Class,CUST-2603,Home Office,India,Kolkata,Delhi,South,Technology,Machines,Machines Product 66,3415.23,3,0.0,-276.23
OID-100144,2021-10-08,2021-10-14,Second Class,CUST-4636,Home Office,India,Delhi,Delhi,Central,Office Supplies,Binders,Binders Product 134,1919.76,10,0.0,101.03
OID-100145,2022-08-14,2022-08-16,Same Day,CUST-9937,Consumer,India,Delhi,Telangana,South,Office Supplies,Labels,Labels Product 80,4140.96,3,0.4,1025.97
OID-100146,2020-10-20,2020-10-26,Second Class,CUST-6891,Consumer,India,Hyderabad,Telangana,South,Office Supplies,Binders,Binders Product 269,1976.55,6,0.3,551.99
OID-100147,2021-01-31,2021-02-02,Second Class,CUST-1120,Home Office,India,Mumbai,West Bengal,South,Furniture,Chairs,Chairs Product 267,4243.36,4,0.0,-171.19
OID-100148,2020-03-26,2020-03-29,Standard Class,CUST-6518,Consumer,India,Chennai,Karnataka,West,Office Supplies,Storage,Storage Product 290,4752.81,6,0.3,412.16
OID-100149,2019-08-29,2019-09-04,Standard Class,CUST-4513,Home Office,India,Delhi,Delhi,South,Furniture,Chairs,Chairs Product 171,3177.59,4,0.4,-489.82
OID-100150,2022-05-07,2022-05-10,Standard Class,CUST-6270,Home Office,India,Kolkata,Maharashtra,East,Office Supplies,Binders,Binders Product 5,3032.08,9,0.3,413.15
OID-100151,2021-04-09,2021-04-15,Standard Class,CUST-4918,Consumer,India,Pune,Delhi,West,Technology,Machines,Machines Product 19,3774.25,7,0.0,-540.73
OID-100152,2019-01-13,2019-01-15,Second Class,CUST-8976,Consumer,India,Hyderabad,Maharashtra,East,Furniture,Furnishings,Furnishings Product 279,4658.1,10,0.1,-797.56
OID-100153,2020-02-10,2020-02-15,Standard Class,CUST-9227,Home Office,India,Pune,West Bengal,Central,Furniture,Furnishings,Furnishings Product 24,2770.17,10,0.4,466.82
OID-100154,2020-06-18,2020-06-20,First Class,CUST-8261,Corporate,India,Hyderabad,Karnataka,South,Office Supplies,Storage,Storage Product 241,2752.28,4,0.2,-389.36
OID-100155,2020-08-10,2020-08-16,First Class,CUST-9076,Corporate,India,Hyderabad,Karnataka,Central,Office Supplies,Storage,Storage Product 135,757.81,5,0.1,165.57
OID-100156,2022-06-14,2022-06-17,Same Day,CUST-7969,Consumer,India,Bangalore,Telangana,Central,Technology,Accessories,Accessories Product 253,4341.0,1,0.4,-385.1
OID-100157,2019-02-02,2019-02-09,Same Day,CUST-7883,Corporate,India,Kolkata,Telangana,East,Furniture,Furnishings,Furnishings Product 103,2013.43,6,0.2,308.3
OID-100158,2020-04-16,2020-04-21,Standard Class,CUST-4594,Home Office,India,Delhi,Delhi,South,Office Supplies,Art,Art Product 68,452.68,8,0.4,-37.75
OID-100159,2021-01-13,2021-01-15,Second Class,CUST-2578,Corporate,India,Chennai,Delhi,Central,Furniture,Furnishings,Furnishings Product 265,2927.46,6,0.4,-42.97
